product_id,product,product_cat,sub_catagory,price
1,Magnetic Screen Door,Outdoor,Outdoor Accessories,7929.66
2,Dual Function Electric Skillet,Kitchen,Cookware,3183.11
3,Skincare Fridge,Beauty,Skincare,4592.72
4,Organic Coconut Sugar,Food - Baking Goods,Baking Ingredients,8451.94
5,Sliced Cheese,Food - Dairy,Cheese,2976.81
6,Nut Mix,Food - Snacks,Nuts and Trail Mix,4703.94
7,Cold Brew Coffee Maker,Kitchen,Coffee Equipment,1085.26
8,Green Tea Matcha Powder,Food - Beverages,Tea,3148.0
9,Camping Tarp,Outdoor,Camping Equipment,3087.69
10,Peach Halves (canned),Food - Canned Goods,Canned Fruits,6305.28
11,Travel Pillow,Travel,Travel Accessories,1169.6
12,Hummus,Food - Snacks,Dips and Spreads,8219.69
13,Collapsible Folding Chair,Outdoor,Camping Equipment,4344.11
14,High-Low Hem Tee,Clothing - Tops,T-Shirts,4626.69
15,Lemon Zest Olive Oil,Food - Oils & Vinegars,Oils,6064.14
16,Multi-Cooker,Kitchen,Cooking Appliances,534.09
17,Ginger Snaps,Food - Confectionery,Cookies & Biscuits,9558.02
18,Zucchini Noodles,Food - Vegetables,Pasta Alternatives,4469.66
19,Eco-Friendly Yoga Mat,Fitness,Sustainable Fitness Equipment,3513.79
20,Shatterproof Wine Glasses,Outdoor,Outdoor Accessories,3540.07
21,Zesty Cilantro Lime Dressing,Food - Condiments,Dressing,5268.96
22,Spicy Avocado Salsa,Food - Condiments,Salsas,5118.83
23,Stuffed Peppers with Quinoa,Food - Prepared Meals,Vegetarian Meals,3680.88
24,Portable Air Pump,Outdoor,Camping Equipment,7083.15
25,Sweet Cherry Tomatoes,Food - Produce,Fruits & Vegetables,3176.9
26,Magnetic Whiteboard,Office,Office Supplies,1323.46
27,Samoas Cookie Mix,Food - Baking,Mixes,6997.32
28,Sea Salt Tortilla Chips,Food - Snacks,Savory Snacks,4851.37
29,Wireless Charging Station,Electronics,Mobile Accessories,7762.89
30,Blueberry Chia Jam,Food - Spreads,Fruit Spreads,2297.31
31,Shredded Cheese,Food - Dairy,Cheese,3675.87
32,Luxury Yoga Mat,Fitness,Yoga Equipment,4568.53
33,Travel Size Toiletry Bottles,Travel,Travel Accessories,6006.8
34,Wireless Game Controller,Gaming,Gaming Accessories,1721.59
35,Microfiber Cleaning Cloths,Home,Home Organization,8369.38
36,Zucchini Noodle Pasta,Food - Vegetables,Pasta Alternatives,6645.97
37,BBQ Sauce,Food - Condiments,Sauces,1052.03
38,Pomegranate Juice,Food - Beverages,Juice,7784.52
39,Ginger Tea,Food - Beverages,Herbal Tea,3271.04
40,Chocolate Chip Energy Balls,Food - Snacks,Healthy Snacks,5419.36
41,Non-Stick Baking Sheet,Kitchen,Baking Accessories,4363.27
42,Pet Grooming Brush,Pets,Grooming Supplies,4972.78
43,Organic Coconut Water,Food - Beverages,Natural Beverages,2561.65
44,Caramel Apple Taffy,Food - Confectionery,Chewy Candies,8583.98
45,Kid's Fruit Snacks,Food - Snacks,Sweet Snacks,9611.39
46,Foldable Picnic Table,Outdoor,Outdoor Furniture,8888.72
47,Pear and Gorgonzola Salad,Food - Salads,Gourmet Salads,3795.11
48,Crispy Rice Treats,Food - Snacks,Sweet Snacks,7567.99
49,Cordless Water Flosser,Health,Oral Care & Hygiene,1556.14
50,Savory Oatmeal Cups,Food - Breakfast,Savory Breakfast Options,8087.57
51,Miso Dressing,Food - Dressings,Dressings,3211.24
52,Inspirational Wall Art,Home,Decorative Wall Art & Accessories,4356.36
53,Classic Pesto Sauce,Food - Sauces,Italian Sauces,2059.25
54,Mixed Berry Smoothie Pack,Food - Frozen Food,Frozen Fruits,1142.54
55,Coconut Water,Food - Beverages,Natural Beverages,7745.05
56,LED Under Cabinet Lighting,Home,Lighting & Lamps,3737.58
57,Compressible Packing Cubes,Travel,Travel Accessories,2117.42
58,Chia Seed Pudding,Food - Snacks,Healthy Snacks,9704.69
59,Fresh Lemons,Food - Fresh Produce,Fruits,2318.11
60,Spiced Pumpkin Soup,Food - Canned Soups,Soups,2528.7
61,Maple Bacon Potato Chips,Food - Snacks,Savory Snacks,8640.22
62,Electric Toothbrush Holder,Health,Oral Care & Hygiene,9059.55
63,Pasta Maker Machine,Kitchen,Cooking Appliances,9815.42
64,Roasted Sweet Corn,Food - Frozen,Frozen Vegetables,2769.43
65,Cat Scratching Post with Toys,Pets,Cat Furniture,4109.27
66,Rechargeable Laptop Battery Pack,Electronics,Computer Accessories,4213.95
67,Smartphone Tripod with Remote,Photography,Tripods & Accessories,4582.97
68,Sports Windbreaker,Clothing - Outerwear,Activewear Jackets,8281.83
69,Pumpkin Seeds,Food - Snacks,Nuts and Seeds,6584.77
70,Portable Electric Fan,Home,Home Appliances,9546.05
71,Kids' Art Supplies Kit,Toys,Creative Arts & Crafts,7936.1
72,Snack Container Set,Kitchen,Food Storage & Organization,9245.24
73,Running Shorts,Clothing - Activewear,Running Shorts,2160.26
74,Children's Educational Puzzle,Toys,Educational Toys,604.15
75,Heat-Resistant Silicone Mat,Kitchen,Baking Accessories,4598.84
76,Almond Milk,Food - Dairy,Dairy Alternatives,9909.38
77,USB Flash Drive,Storage,Storage Devices,5766.09
78,Teriyaki Stir-Fry Sauce,Food - Condiments,Sauces,8402.37
79,Asian Salad Mix,Food - Produce,Salad Mixes,4474.05
80,Maple Cinnamon Almonds,Food - Nuts,Flavored Nuts,982.87
81,Electric Knife,Kitchen,Small Appliances,8897.08
82,Hiking Gaiters,Outdoor,Hiking Accessories,5172.86
83,Caribbean Jerk Marinade,Food - Marinades,Marinades,8476.27
84,Classic Chicken Noodle Soup,Food - Canned Goods,Soups & Broths,720.08
85,Cajun Seasoning,Food - Spices,Seasoning Blends,6822.64
86,Chia Seeds,Food - Grains,Superfoods,9650.56
87,Whole Wheat Pasta,Food - Grains,Pasta,3040.51
88,Maple Cinnamon Almonds,Food - Nuts,Flavored Nuts,7078.0
89,Roasted Garlic Aioli,Food - Condiments,Dips,5750.78
90,Caramel Apple Taffy,Food - Confectionery,Chewy Candies,1658.96
91,Tea Set with Infuser,Kitchen,Coffee Equipment,1504.69
92,Chocolate Covered Pretzels,Food - Snacks,Savory Snacks,493.78
93,Reversible Comforter Set,Home,Bedding & Linens,8541.89
94,Winter Knit Beanie,Clothing,Hats & Headwear,1514.06
95,Smart LED Light Strip,Home,Smart Home & Security,2151.3
96,Apple Cinnamon Oatmeal,Food - Breakfast,Instant Breakfast,2895.42
97,Portable Charcoal Grill,Outdoor,Grilling Accessories,7983.33
98,Foam Roller for Muscle Recovery,Fitness,Recovery Tools,5813.85
99,Drone,Electronics,Drones & Accessories,327.2
100,Camping Lantern,Outdoor,Camping Equipment,9555.56
101,Maple Bacon Popcorn,Food - Snacks,Savory Snacks,6993.56
102,Balsamic Salad Dressing,Food - Deli,Dips/Spreads,4929.26
103,Chipotle Lime Salsa,Food - Condiments,Salsas,2552.95
104,Interchangeable Watch Bands,Accessories,Watches,1275.27
